Names,Tc,Pc,omega,M,Vc,Zc,vd,AlowT,BlowT,ClowT,DlowT,ElowT,FlowT,GlowT,AHigT,BHigT,CHigT,DHigT,EHigT,FHigT,GHigT,Tlow,Thig,Tmed,geometry,eps_kb,sigma,mu,alpha,Zrot
H2,33.18,1300000.0,-0.216,0.0020158999999999997,6.4935e-05,0.3059927525883247,6.12,2.34433112,0.00798052075,-1.9478151e-05,2.01572094e-08,-7.37611761e-12,-917.935173,-3.20502331,3.3372792,-4.94024731e-05,4.99456778e-07,-1.79566394e-10,2.00255376e-14,-950.158922,-3.20502331,200.0,3500.0,1000.0,1,38.0,2.92,0.0,0.79,280.0
H,33.18,1300000.0,-0.216,0.001008,6.4935e-05,0.3059927525883247,2.31,2.5,7.05332819e-13,-1.99591964e-15,2.30081632e-18,-9.27732332e-22,25473.6599,-0.446682914,2.50000001,-2.30842973e-11,1.61561948e-14,-4.73515235e-18,4.98197357e-22,25473.6599,-0.446682914,200.0,3500.0,1000.0,0,145.0,2.05,0.0,0.0,0.0
O,33.18,1300000.0,-0.216,0.015999,6.4935e-05,0.3059927525883247,6.11,3.1682671,-0.00327931884,6.64306396e-06,-6.12806624e-09,2.11265971e-12,29122.2592,4.78433864,2.56942078,-8.59741137e-05,4.19484589e-08,-1.00177799e-11,1.22833691e-15,29217.5791,4.78433864,200.0,3500.0,1000.0,0,80.0,2.75,0.0,0.0,0.0
O2,154.58,5043000.0,0.0222,0.031999,7.3529e-05,0.2885091887977435,16.3,3.78245636,-0.00299673416,9.84730201e-06,-9.68129509e-09,3.24372837e-12,-1063.94356,5.45323129,3.28253784,0.00148308754,-7.57966669e-07,2.09470555e-10,-2.16717794e-14,-1088.45772,5.45323129,200.0,3500.0,1000.0,1,107.4,3.458,0.0,1.6,3.8
OH,33.18,1300000.0,-0.216,0.017007,6.4935e-05,0.3059927525883247,8.42,3.99201543,-0.00240131752,4.61793841e-06,-3.88113333e-09,1.3641147e-12,3615.08056,4.4766961,3.09288767,0.000548429716,1.26505228e-07,-8.79461556e-11,1.17412376e-14,3858.657,4.4766961,200.0,3500.0,1000.0,1,80.0,2.75,0.0,0.0,0.0
H2O,33.18,1300000.0,-0.216,0.018015,6.4935e-05,0.3059927525883247,13.1,4.19864056,-0.0020364341,6.52040211e-06,-5.48797062e-09,1.77197817e-12,-30293.7267,4.9667701,3.03399249,0.00217691804,-1.64072518e-07,-9.7041987e-11,1.68200992e-14,-30004.2971,4.9667701,200.0,3500.0,1000.0,2,572.4,2.605,1.844,0.0,4.0
HO2,33.18,1300000.0,-0.216,0.0330067,6.4935e-05,0.3059927525883247,14.53,4.30179801,-0.00474912051,2.11582891e-05,-2.42763894e-08,9.29225124e-12,294.80804,3.78510215,4.0172109,0.00223982013,-6.3365815e-07,1.1424637e-10,-1.07908535e-14,111.856713,3.78510215,200.0,3500.0,1000.0,2,107.4,3.458,0.0,0.0,1.0
H2O2,33.18,1300000.0,-0.216,0.034015000000000004,6.4935e-05,0.3059927525883247,22.42,4.27611269,-0.000542822417,1.67335701e-05,-2.15770813e-08,8.62454363e-12,-17702.5821,2.91615662,4.16500285,0.00490831694,-1.90139225e-06,3.71185986e-10,-2.87908305e-14,-17861.7877,2.91615662,200.0,3500.0,1000.0,2,107.4,3.458,0.0,0.0,3.8
C,33.18,1300000.0,-0.216,0.012010999999999999,6.4935e-05,0.3059927525883247,15.9,2.55423955,-0.000321537724,7.33792245e-07,-7.32234889e-10,2.66521446e-13,85443.8832,4.80150373,2.49266888,4.79889284e-05,-7.2433502e-08,3.74291029e-11,-4.87277893e-15,85451.2953,4.80150373,200.0,3500.0,1000.0,0,71.4,3.298,0.0,0.0,0.0
CH,33.18,1300000.0,-0.216,0.013019000000000001,6.4935e-05,0.3059927525883247,18.21,3.48981665,0.000323835541,-1.68899065e-06,3.16217327e-09,-1.40609067e-12,70797.2934,5.48497999,2.87846473,0.000970913681,1.44445655e-07,-1.30687849e-10,1.76079383e-14,71012.4364,5.48497999,200.0,3500.0,1000.0,1,80.0,2.75,0.0,0.0,0.0
